user_id,age,gender,height_cm,weight_kg,bmi,shoe_size,apparel_size,foot_arch_type,primary_sport,fitness_level,workouts_per_week,indoor_or_outdoor,budget_min,budget_max,preferred_brands,style_preference,color_preference,material_preference,location,climate
U00026,18,female,159.9,48.8,19.1,8.0,S,normal,running,advanced,5,outdoor,20,79,Adidas,performance,black,nylon,"San Francisco, CA",temperate
U00027,20,female,162.8,58.6,22.1,8.5,M,low,lifestyle,beginner,4,outdoor,10,61,Jordan|Adidas,casual,black,gore-tex,"Denver, CO",cold
U00028,21,male,180.2,64.0,19.7,10.5,S,high,lifestyle,beginner,4,outdoor,23,70,Nike,performance,black,mesh,"Philadelphia, PA",temperate
U00029,50,male,175.9,63.7,20.6,9.5,S,normal,training,intermediate,4,indoor,47,129,Nike,performance,navy,cotton,"Charlotte, NC",temperate
U00030,38,female,155.0,72.3,30.1,7.0,XL,low,training,advanced,4,indoor,42,167,Adidas|Nike,performance,red,mesh,"Las Vegas, NV",hot
U00031,50,male,171.1,68.8,23.5,8.0,M,normal,training,intermediate,4,indoor,15,67,Nike|Adidas,athleisure,multi,knit,"Chicago, IL",continental
U00032,26,female,163.9,59.4,22.1,9.0,M,normal,training,beginner,3,indoor,17,74,Adidas|Nike|Jordan,performance,black,polyester,"Detroit, MI",continental
U00033,52,male,175.9,81.4,26.3,10.0,L,normal,yoga,intermediate,2,indoor,30,116,Adidas,casual,beige,nylon,"Orlando, FL",tropical
U00034,29,male,176.5,89.4,28.7,10.5,XL,normal,swimming,advanced,4,both,28,95,Adidas,performance,white,synthetic,"Charlotte, NC",temperate
U00035,27,female,171.3,62.2,21.2,9.5,S,normal,yoga,beginner,4,outdoor,21,57,Jordan,retro,brown,polyester,"Los Angeles, CA",hot
U00036,18,male,184.1,94.6,27.9,11.0,L,normal,training,intermediate,3,indoor,21,100,Adidas|Nike|Jordan,performance,red,knit,"New York, NY",continental
U00037,22,female,174.2,74.7,24.6,10.5,L,normal,running,beginner,3,outdoor,19,52,Nike|Adidas,performance,white,synthetic,"Miami, FL",tropical
U00038,34,male,174.7,69.9,22.9,9.5,M,normal,yoga,advanced,4,both,32,72,Adidas|Nike|Jordan,athleisure,brown,mesh,"Philadelphia, PA",temperate
U00039,27,female,174.5,61.8,20.3,10.5,S,normal,football,beginner,3,outdoor,10,50,Adidas|Nike|Jordan,performance,navy,polyester,"Phoenix, AZ",hot
U00040,52,female,164.7,71.3,26.3,9.0,L,normal,running,beginner,5,outdoor,15,48,Nike,performance,red,knit,"Charlotte, NC",temperate
U00041,31,male,177.5,86.0,27.3,10.0,L,normal,running,advanced,2,outdoor,54,209,Jordan,performance,brown,mesh,"New York, NY",continental
U00042,51,male,180.7,71.2,21.8,10.5,S,normal,training,beginner,4,indoor,64,194,Nike,performance,blue,leather,"Atlanta, GA",temperate
U00043,21,male,184.2,70.6,20.8,11.0,S,high,training,beginner,5,indoor,23,56,Nike|Adidas,performance,black,leather,"Boston, MA",continental
U00044,20,female,156.4,51.6,21.1,8.0,S,normal,training,beginner,4,both,15,35,Jordan|Adidas|Nike,performance,black,polyester,"Boston, MA",continental
U00045,40,male,178.2,72.1,22.7,10.5,M,normal,training,beginner,4,indoor,17,61,Nike,performance,white,leather,"San Diego, CA",hot
U00046,37,male,169.8,90.2,31.3,8.5,XL,high,training,intermediate,2,indoor,40,105,Nike|Adidas,performance,purple,leather,"Seattle, WA",temperate
U00047,21,male,173.6,82.9,27.5,9.0,L,normal,tennis,intermediate,3,outdoor,36,118,Nike,casual,multi,mesh,"Minneapolis, MN",cold
U00048,44,male,182.2,75.4,22.7,11.0,M,low,yoga,intermediate,2,outdoor,68,177,Nike|Adidas,performance,navy,polyester,"Atlanta, GA",temperate
U00049,57,female,162.1,53.6,20.4,8.5,S,normal,running,beginner,3,outdoor,40,96,Nike,performance,navy,mesh,"Seattle, WA",temperate
U00050,22,male,178.2,70.8,22.3,10.0,S,normal,yoga,beginner,4,both,24,67,Adidas|Nike,athleisure,white,leather,"Detroit, MI",continental
U00051,53,female,159.9,49.1,19.2,8.0,S,low,yoga,advanced,4,both,28,165,Nike|Adidas,casual,brown,knit,"Houston, TX",tropical
U00052,26,female,163.3,85.6,32.1,9.0,XXL,high,yoga,advanced,4,indoor,69,308,Jordan,athleisure,grey,gore-tex,"Orlando, FL",tropical
U00053,23,male,175.9,68.7,22.2,9.5,S,normal,football,beginner,2,indoor,18,46,Nike|Jordan|Adidas,performance,blue,cotton,"Las Vegas, NV",hot
U00054,20,female,170.3,72.2,24.9,10.5,L,low,training,advanced,2,indoor,22,138,Adidas|Jordan,performance,multi,mesh,"Los Angeles, CA",hot
U00055,19,male,177.5,71.8,22.8,10.0,M,normal,running,intermediate,4,both,24,78,Nike,performance,orange,polyester,"Portland, OR",temperate
U00056,26,female,162.1,73.6,28.0,9.0,XL,normal,running,intermediate,2,outdoor,14,43,Nike,athleisure,green,nylon,"Miami, FL",tropical
U00057,58,female,176.8,61.0,19.5,11.5,S,normal,training,intermediate,3,indoor,58,147,Jordan,casual,blue,polyester,"Phoenix, AZ",hot
U00058,46,female,162.1,67.5,25.7,8.5,L,normal,yoga,beginner,2,indoor,34,86,Nike,performance,black,cotton,"Las Vegas, NV",hot
U00059,25,female,166.9,58.2,20.9,8.5,S,high,football,intermediate,3,outdoor,10,39,Adidas,performance,grey,leather,"Charlotte, NC",temperate
U00060,22,female,155.8,75.2,31.0,8.0,XL,normal,football,beginner,3,both,29,81,Jordan,performance,grey,cotton,"Miami, FL",tropical
U00061,33,male,179.6,79.0,24.5,10.0,M,high,yoga,intermediate,5,indoor,36,92,Nike|Adidas|Jordan,athleisure,orange,mesh,"Houston, TX",tropical
U00062,53,female,159.2,52.7,20.8,8.0,S,normal,training,beginner,5,indoor,18,98,Nike|Adidas|Jordan,performance,green,knit,"Denver, CO",cold
U00063,29,female,163.9,76.8,28.6,8.5,XL,normal,training,intermediate,3,indoor,32,108,Adidas,athleisure,beige,gore-tex,"Houston, TX",tropical
U00064,42,female,165.4,66.8,24.4,9.0,M,high,tennis,intermediate,3,outdoor,20,59,Nike|Adidas,retro,black,polyester,"Charlotte, NC",temperate
U00065,23,female,158.1,53.2,21.3,8.0,S,normal,outdoor,advanced,2,outdoor,35,137,Nike,performance,blue,mesh,"Dallas, TX",hot
U00066,32,male,184.7,79.8,23.4,12.0,M,normal,skateboarding,advanced,4,indoor,30,113,Nike|Jordan,casual,yellow,polyester,"Seattle, WA",temperate
U00067,22,female,165.9,58.9,21.4,9.0,S,high,running,beginner,4,outdoor,10,35,Adidas,retro,blue,nylon,"New York, NY",continental
U00068,42,male,183.6,68.4,20.3,11.0,S,high,running,intermediate,4,outdoor,58,151,Jordan,casual,white,polyester,"New York, NY",continental
U00069,19,female,174.2,48.6,16.0,10.5,XS,high,yoga,advanced,4,indoor,35,159,Adidas,athleisure,orange,cotton,"Denver, CO",cold
U00070,21,female,167.6,71.6,25.5,10.0,L,normal,training,beginner,5,indoor,28,100,Jordan|Nike,performance,black,synthetic,"Houston, TX",tropical
U00071,30,male,172.0,64.8,21.9,9.0,S,normal,training,beginner,3,indoor,17,55,Nike|Adidas,performance,grey,cotton,"Philadelphia, PA",temperate
U00072,57,female,174.5,70.9,23.3,10.5,M,normal,yoga,intermediate,4,outdoor,10,57,Adidas|Jordan,performance,pink,nylon,"Minneapolis, MN",cold
U00073,24,female,163.9,66.1,24.6,8.5,L,normal,training,intermediate,4,indoor,32,113,Nike,performance,black,leather,"Seattle, WA",temperate
U00074,50,male,172.3,85.8,28.9,9.0,XL,low,yoga,intermediate,4,indoor,14,74,Adidas|Nike,athleisure,yellow,polyester,"Boston, MA",continental
U00075,27,female,165.9,47.9,17.4,9.0,XS,high,training,advanced,3,outdoor,32,145,Adidas,athleisure,grey,cotton,"San Diego, CA",hot
U00076,48,male,189.5,83.3,23.2,12.5,M,normal,training,intermediate,4,indoor,34,131,Adidas,performance,grey,mesh,"Las Vegas, NV",hot
U00077,33,female,153.7,86.9,36.8,7.5,XXL,normal,football,intermediate,3,both,30,100,Nike,performance,multi,knit,"New York, NY",continental
U00078,32,female,160.0,66.6,26.0,8.0,L,high,yoga,intermediate,2,indoor,24,86,Nike,casual,black,nylon,"Houston, TX",tropical
U00079,52,male,173.6,63.9,21.2,9.5,S,high,training,advanced,3,outdoor,16,92,Adidas|Nike,performance,grey,leather,"Philadelphia, PA",temperate
U00080,32,male,183.1,75.1,22.4,11.5,S,normal,football,advanced,4,outdoor,63,245,Adidas|Nike,performance,blue,synthetic,"Phoenix, AZ",hot
U00081,18,female,163.3,55.2,20.7,8.0,S,normal,training,intermediate,2,indoor,12,74,Nike|Adidas,athleisure,black,leather,"Boston, MA",continental
U00082,29,male,171.1,87.5,29.9,8.5,XL,normal,running,beginner,4,outdoor,19,84,Nike,retro,white,cotton,"Minneapolis, MN",cold
U00083,23,female,161.0,62.2,24.0,8.0,M,normal,outdoor,beginner,4,outdoor,11,65,Adidas,casual,blue,mesh,"Phoenix, AZ",hot
U00084,45,male,185.7,84.1,24.4,11.5,M,low,training,intermediate,4,indoor,33,166,Jordan|Nike,athleisure,beige,synthetic,"Minneapolis, MN",cold
U00085,56,male,178.2,70.2,22.1,10.0,S,normal,yoga,beginner,4,indoor,14,48,Adidas,athleisure,blue,synthetic,"Dallas, TX",hot
U00086,19,male,184.2,70.9,20.9,11.5,S,high,yoga,beginner,5,indoor,20,46,Jordan,athleisure,navy,fleece,"Denver, CO",cold
U00087,31,female,168.0,66.6,23.6,9.5,M,high,basketball,intermediate,2,indoor,14,66,Adidas,retro,red,knit,"Orlando, FL",tropical
U00088,45,male,170.4,75.8,26.1,9.5,L,normal,running,advanced,4,both,48,131,Nike|Jordan|Adidas,performance,black,synthetic,"Las Vegas, NV",hot
U00089,23,female,176.9,75.1,24.0,11.5,M,normal,basketball,beginner,3,indoor,10,62,Nike,casual,black,cotton,"Denver, CO",cold
U00090,31,female,164.7,71.1,26.2,8.5,L,low,football,beginner,4,both,12,46,Adidas,performance,blue,fleece,"Boston, MA",continental
U00091,40,female,171.9,61.5,20.8,9.5,S,high,running,beginner,5,outdoor,20,74,Adidas|Nike,performance,red,polyester,"Houston, TX",tropical
U00092,40,male,149.8,63.5,28.3,7.0,L,high,yoga,intermediate,4,indoor,35,194,Adidas|Nike|Jordan,casual,white,mesh,"Orlando, FL",tropical
U00093,19,male,188.4,78.1,22.0,12.0,S,high,training,intermediate,4,indoor,24,71,Adidas,performance,black,leather,"San Francisco, CA",temperate
U00094,36,male,174.1,80.9,26.7,9.5,L,normal,running,beginner,3,both,10,37,Nike,athleisure,green,knit,"Charlotte, NC",temperate
U00095,29,female,154.5,63.7,26.7,7.0,L,normal,swimming,beginner,3,indoor,21,55,Nike|Jordan|Adidas,performance,pink,mesh,"Portland, OR",temperate
U00096,37,female,165.9,59.4,21.6,9.0,M,normal,running,beginner,5,outdoor,12,36,Nike|Adidas|Jordan,performance,brown,knit,"Orlando, FL",tropical
U00097,49,male,174.1,88.5,29.2,10.0,XL,normal,basketball,advanced,3,indoor,108,289,Nike|Adidas,performance,orange,cotton,"Philadelphia, PA",temperate
U00098,36,female,165.9,52.0,18.9,8.5,S,normal,training,advanced,4,indoor,34,171,Nike,performance,green,fleece,"Portland, OR",temperate
U00099,27,female,155.8,60.4,24.9,8.0,L,low,training,intermediate,3,outdoor,19,77,Nike,performance,blue,nylon,"Dallas, TX",hot
U00100,18,male,169.8,76.1,26.4,9.0,L,low,tennis,advanced,2,indoor,39,107,Adidas|Nike|Jordan,performance,beige,leather,"Los Angeles, CA",hot
U00101,45,male,185.7,84.1,24.4,12.0,M,normal,training,intermediate,4,indoor,18,64,Nike|Adidas,retro,pink,knit,"Los Angeles, CA",hot
U00102,54,male,166.0,88.7,32.2,8.0,XL,high,football,beginner,3,outdoor,34,99,Nike,performance,black,cotton,"Los Angeles, CA",hot
U00103,40,male,153.0,66.2,28.3,7.0,L,normal,yoga,intermediate,4,indoor,62,227,Jordan,athleisure,green,polyester,"Philadelphia, PA",temperate
U00104,20,male,190.2,93.0,25.7,12.5,XL,normal,running,intermediate,3,outdoor,16,46,Jordan,casual,white,cotton,"San Diego, CA",hot
U00105,43,female,176.2,71.1,22.9,11.0,M,normal,yoga,advanced,4,indoor,88,256,Nike|Adidas,athleisure,orange,fleece,"New York, NY",continental
U00106,31,male,175.3,77.7,25.3,9.5,M,normal,training,beginner,2,indoor,14,59,Jordan|Nike,performance,multi,synthetic,"Orlando, FL",tropical
U00107,26,male,167.1,65.9,23.6,8.5,M,normal,training,beginner,2,indoor,46,111,Nike,performance,black,leather,"Seattle, WA",temperate
U00108,29,male,169.9,75.6,26.2,8.5,L,low,training,beginner,3,indoor,13,35,Nike|Adidas,casual,black,cotton,"Orlando, FL",tropical
U00109,29,male,170.4,79.8,27.5,9.5,L,normal,running,advanced,5,outdoor,31,181,Nike|Adidas,performance,green,cotton,"Denver, CO",cold
U00110,54,female,153.7,59.1,25.0,7.0,L,low,yoga,intermediate,3,indoor,14,88,Nike|Adidas,athleisure,orange,leather,"Denver, CO",cold
U00111,23,female,174.5,62.1,20.4,10.0,S,high,training,beginner,3,outdoor,26,70,Nike,athleisure,red,knit,"Phoenix, AZ",hot
U00112,28,male,174.7,79.0,25.9,10.0,L,high,training,intermediate,2,indoor,37,108,Nike|Adidas|Jordan,performance,blue,gore-tex,"Philadelphia, PA",temperate
U00113,33,male,180.7,100.9,30.9,12.0,XL,normal,training,beginner,4,indoor,28,66,Nike,performance,purple,polyester,"Los Angeles, CA",hot
U00114,50,female,170.7,67.6,23.2,9.0,M,normal,running,beginner,3,both,22,62,Adidas|Jordan,performance,red,cotton,"San Diego, CA",hot
U00115,34,male,170.4,84.2,29.0,9.0,XL,normal,football,intermediate,5,both,43,202,Adidas,retro,purple,leather,"Detroit, MI",continental
U00116,18,female,165.4,53.3,19.5,9.0,S,normal,football,advanced,2,both,20,126,Nike|Adidas,retro,white,gore-tex,"New York, NY",continental
U00117,30,male,178.2,73.7,23.2,10.5,M,normal,training,intermediate,4,indoor,47,151,Nike|Jordan,performance,grey,cotton,"Orlando, FL",tropical
U00118,21,male,169.9,76.2,26.4,9.5,L,normal,tennis,advanced,2,outdoor,53,176,Nike,performance,red,knit,"Las Vegas, NV",hot
U00119,33,female,163.9,54.3,20.2,9.0,S,high,football,advanced,4,outdoor,103,240,Nike|Adidas,performance,pink,leather,"Houston, TX",tropical
U00120,18,female,164.7,50.2,18.5,9.0,S,normal,outdoor,intermediate,3,both,20,56,Adidas|Nike,performance,black,leather,"Dallas, TX",hot
U00121,18,male,169.9,78.2,27.1,9.5,L,normal,yoga,beginner,4,indoor,30,72,Jordan,performance,black,mesh,"Atlanta, GA",temperate
U00122,46,male,189.1,80.8,22.6,12.5,M,low,training,beginner,4,indoor,28,75,Nike,performance,yellow,synthetic,"Las Vegas, NV",hot
U00123,53,male,176.5,81.9,26.3,10.0,L,low,lifestyle,intermediate,3,both,22,64,Adidas,casual,navy,knit,"Philadelphia, PA",temperate
U00124,29,male,170.4,79.8,27.5,8.5,L,low,training,advanced,5,indoor,48,151,Nike|Adidas|Jordan,performance,white,synthetic,"Detroit, MI",continental
U00125,23,male,168.5,89.4,31.5,9.5,XL,low,running,intermediate,3,outdoor,73,226,Adidas,performance,white,cotton,"Las Vegas, NV",hot
U00126,55,female,167.1,69.5,24.9,9.0,L,normal,training,beginner,4,indoor,17,55,Nike|Adidas,performance,orange,leather,"Dallas, TX",hot
U00127,48,male,174.1,73.4,24.2,9.0,M,normal,lifestyle,advanced,3,both,57,141,Nike,casual,black,mesh,"Miami, FL",tropical
U00128,42,female,156.4,76.8,31.4,8.0,XL,normal,training,beginner,2,indoor,17,79,Adidas|Nike,performance,navy,gore-tex,"Detroit, MI",continental
U00129,46,female,152.9,67.6,28.9,7.0,XL,normal,running,beginner,2,outdoor,22,52,Nike|Adidas,performance,blue,mesh,"Denver, CO",cold
U00130,20,male,177.1,83.1,26.5,10.0,L,low,training,beginner,3,both,18,57,Nike|Adidas,performance,multi,leather,"Portland, OR",temperate
U00131,52,female,167.2,69.6,24.9,8.5,L,high,training,beginner,4,indoor,15,54,Nike|Adidas,athleisure,green,polyester,"Charlotte, NC",temperate
U00132,31,female,161.6,67.1,25.7,8.5,L,high,yoga,intermediate,2,indoor,26,124,Adidas|Nike,athleisure,pink,nylon,"Las Vegas, NV",hot
U00133,21,female,167.6,45.8,16.3,9.0,XS,normal,swimming,beginner,4,both,12,52,Adidas|Jordan|Nike,performance,green,cotton,"Dallas, TX",hot
U00134,29,female,157.1,62.4,25.3,8.0,L,normal,training,intermediate,5,outdoor,77,238,Nike|Adidas,performance,multi,knit,"Denver, CO",cold
U00135,26,male,180.7,78.0,23.9,10.5,M,normal,training,beginner,4,both,13,66,Nike|Adidas,casual,white,polyester,"Denver, CO",cold
U00136,20,male,179.1,84.7,26.4,11.0,L,high,football,intermediate,3,outdoor,12,78,Nike|Adidas,performance,black,synthetic,"Orlando, FL",tropical
U00137,53,male,175.9,73.3,23.7,10.0,M,normal,running,intermediate,3,outdoor,37,162,Nike|Adidas,performance,white,polyester,"Los Angeles, CA",hot
U00138,50,female,165.4,59.6,21.8,9.5,M,low,training,intermediate,2,indoor,14,59,Nike|Adidas,athleisure,beige,synthetic,"Denver, CO",cold
U00139,28,female,160.6,58.3,22.6,8.5,M,normal,yoga,intermediate,3,indoor,93,214,Adidas|Jordan,athleisure,pink,mesh,"Portland, OR",temperate
U00140,49,female,160.6,81.0,31.4,8.5,XL,normal,training,intermediate,2,outdoor,22,69,Nike|Adidas|Jordan,athleisure,black,cotton,"Orlando, FL",tropical
U00141,45,female,172.5,59.5,20.0,10.5,S,normal,basketball,beginner,5,indoor,29,107,Adidas|Nike|Jordan,performance,white,mesh,"Boston, MA",continental
U00142,56,female,157.2,71.7,29.0,8.5,XL,normal,yoga,beginner,3,both,44,98,Adidas|Nike,athleisure,navy,cotton,"Atlanta, GA",temperate
U00143,28,male,174.1,63.7,21.0,9.5,S,normal,yoga,intermediate,4,indoor,22,84,Nike|Adidas,athleisure,black,leather,"San Diego, CA",hot
U00144,44,male,181.2,86.0,26.2,11.5,L,normal,yoga,intermediate,3,indoor,38,88,Nike,athleisure,navy,nylon,"Seattle, WA",temperate
U00145,18,male,172.3,65.9,22.2,9.0,S,normal,running,beginner,4,outdoor,22,51,Adidas|Jordan,performance,black,synthetic,"Detroit, MI",continental
U00146,57,male,174.7,85.2,27.9,10.0,L,normal,swimming,beginner,3,indoor,25,69,Nike|Jordan,performance,pink,mesh,"Boston, MA",continental
U00147,45,female,161.0,48.7,18.8,8.0,S,high,training,advanced,3,indoor,34,109,Nike|Adidas|Jordan,performance,white,cotton,"Orlando, FL",tropical
U00148,22,female,169.1,65.8,23.0,8.5,M,normal,running,advanced,5,both,51,129,Nike|Adidas,athleisure,grey,fleece,"Detroit, MI",continental
U00149,18,female,151.8,56.0,24.3,6.5,M,normal,training,advanced,3,indoor,29,119,Nike|Adidas,performance,black,mesh,"Philadelphia, PA",temperate
U00150,46,female,161.6,55.9,21.4,8.5,S,normal,training,advanced,3,both,27,102,Jordan,athleisure,red,polyester,"Houston, TX",tropical
U00151,43,female,168.0,83.5,29.6,9.5,XL,normal,training,intermediate,3,indoor,14,68,Nike|Adidas,athleisure,pink,polyester,"Phoenix, AZ",hot
U00152,43,male,186.8,83.4,23.9,12.0,M,normal,training,advanced,3,both,39,174,Adidas,performance,purple,polyester,"Boston, MA",continental
U00153,29,male,184.7,86.0,25.2,11.5,M,low,training,beginner,4,both,13,68,Jordan|Adidas,performance,pink,synthetic,"Portland, OR",temperate
U00154,26,male,170.4,81.0,27.9,9.0,L,low,running,intermediate,2,both,31,76,Adidas,performance,red,cotton,"Orlando, FL",tropical
U00155,18,female,156.4,62.6,25.6,7.5,L,low,yoga,intermediate,4,both,13,89,Nike,retro,grey,synthetic,"Minneapolis, MN",cold
U00156,47,male,178.2,92.4,29.1,10.5,XL,normal,outdoor,advanced,3,outdoor,35,126,Adidas|Nike,casual,black,leather,"San Diego, CA",hot
U00157,26,female,170.7,73.1,25.1,10.0,L,normal,outdoor,intermediate,4,outdoor,47,182,Adidas|Jordan,casual,red,mesh,"Phoenix, AZ",hot
U00158,30,male,185.2,61.7,18.0,12.0,XS,normal,basketball,beginner,5,indoor,17,62,Adidas,casual,black,synthetic,"Houston, TX",tropical
U00159,25,female,175.5,59.4,19.3,10.5,S,normal,basketball,intermediate,3,indoor,67,166,Adidas|Jordan,performance,red,polyester,"Minneapolis, MN",cold
U00160,18,male,185.2,79.2,23.1,11.0,M,high,yoga,intermediate,3,both,17,42,Nike,performance,black,mesh,"Houston, TX",tropical
U00161,18,male,181.7,64.0,19.4,10.5,XS,normal,running,intermediate,4,outdoor,35,99,Adidas,performance,black,mesh,"New York, NY",continental
U00162,48,female,160.6,62.7,24.3,7.5,M,normal,running,beginner,5,outdoor,30,83,Jordan,athleisure,navy,mesh,"Houston, TX",tropical
U00163,56,male,178.3,82.7,26.0,10.5,L,normal,training,beginner,2,both,20,50,Adidas,performance,beige,leather,"New York, NY",continental
U00164,45,female,140.2,61.9,31.5,5.5,XXL,normal,yoga,beginner,4,indoor,14,52,Jordan|Nike,retro,pink,synthetic,"New York, NY",continental
U00165,35,male,176.5,77.3,24.8,10.0,M,normal,running,intermediate,4,outdoor,28,98,Nike|Adidas,athleisure,pink,fleece,"Boston, MA",continental
U00166,45,male,172.3,81.6,27.5,9.5,L,normal,training,intermediate,2,indoor,32,143,Adidas|Nike,athleisure,orange,mesh,"Dallas, TX",hot
U00167,27,female,161.0,74.4,28.7,8.5,XL,high,yoga,intermediate,2,indoor,14,63,Nike|Adidas,performance,blue,polyester,"Miami, FL",tropical
U00168,18,female,167.2,68.2,24.4,8.5,M,normal,running,beginner,5,outdoor,31,72,Adidas,performance,pink,polyester,"Las Vegas, NV",hot
U00169,49,female,172.5,66.4,22.3,10.0,M,high,running,beginner,5,outdoor,28,74,Nike|Jordan,performance,blue,synthetic,"Charlotte, NC",temperate
U00170,47,female,161.6,82.8,31.7,8.0,XXL,normal,training,intermediate,4,indoor,27,94,Nike|Adidas,athleisure,multi,knit,"Phoenix, AZ",hot
U00171,30,male,173.6,64.2,21.3,9.0,S,high,football,beginner,3,outdoor,10,59,Adidas|Nike,casual,pink,mesh,"Charlotte, NC",temperate
U00172,30,female,176.4,82.5,26.5,11.5,L,low,running,beginner,2,outdoor,25,67,Adidas|Nike,performance,white,mesh,"Orlando, FL",tropical
U00173,20,male,175.9,85.7,27.7,10.5,L,normal,running,intermediate,4,outdoor,75,173,Jordan,performance,grey,leather,"Las Vegas, NV",hot
U00174,54,female,163.3,57.9,21.7,8.5,M,normal,running,advanced,4,both,82,191,Nike,athleisure,red,cotton,"Los Angeles, CA",hot
U00175,18,male,173.1,79.7,26.6,9.5,L,normal,yoga,beginner,2,outdoor,13,36,Nike,performance,blue,leather,"Los Angeles, CA",hot
U00176,24,male,174.1,64.0,21.1,9.0,S,normal,lifestyle,advanced,3,outdoor,39,113,Adidas|Nike,athleisure,black,cotton,"San Diego, CA",hot
U00177,23,male,165.0,63.4,23.3,7.5,M,normal,running,beginner,4,outdoor,10,35,Nike,performance,red,nylon,"Detroit, MI",continental
U00178,41,male,187.7,91.2,25.9,12.5,L,normal,running,intermediate,2,both,10,47,Nike|Adidas,retro,red,mesh,"Los Angeles, CA",hot
U00179,26,male,186.4,82.0,23.6,12.0,M,normal,training,intermediate,4,indoor,15,64,Nike|Adidas,performance,black,nylon,"Boston, MA",continental
